Season,Date,Team1,Team2,Venue,City,Toss(Won),Toss(Decision),BatFirst,BowlFirst,SuperOver,Winner,"WonBy(Runs,Wickets)","Won(Toss,Match)",POM
2013,2013-04-17,RR,MI,Sawai Mansingh Stadium,Jaipur,RR,bat,RR,MI,N,RR,87.0,Yes,AM Rahane
2013,2013-04-17,PW,SH,Maharashtra Cricket Association Stadium,Pune,PW,field,SH,PW,N,SH,11.0,No,A Mishra
2013,2013-04-16,KXP,KKR,"Punjab Cricket Association Stadium, Mohali",Chandigarh,KKR,field,KXP,KKR,N,KXP,4.0,No,MS Gony
2013,2013-04-16,RCB,DD,M Chinnaswamy Stadium,Bangalore,RCB,field,DD,RCB,Y,RCB,17.0,Yes,V Kohli
2013,2013-04-15,CSK,PW,"MA Chidambaram Stadium, Chepauk",Chennai,PW,bat,PW,CSK,N,PW,24.0,Yes,SPD Smith
2013,2013-04-14,RR,KXP,Sawai Mansingh Stadium,Jaipur,RR,field,KXP,RR,N,RR,6.0,Yes,JP Faulkner
2013,2013-04-14,KKR,SH,Eden Gardens,Kolkata,KKR,bat,KKR,SH,N,KKR,48.0,Yes,G Gambhir
2013,2013-04-13,CSK,RCB,"MA Chidambaram Stadium, Chepauk",Chennai,CSK,field,RCB,CSK,N,CSK,4.0,Yes,RA Jadeja
2013,2013-04-13,MI,PW,Wankhede Stadium,Mumbai,MI,bat,MI,PW,N,MI,41.0,Yes,RG Sharma
2013,2013-04-12,DD,SH,Feroz Shah Kotla,Delhi,DD,bat,DD,SH,N,SH,3.0,No,A Mishra
2013,2013-04-11,RCB,KKR,M Chinnaswamy Stadium,Bangalore,RCB,field,KKR,RCB,N,RCB,8.0,Yes,CH Gayle
2013,2013-04-11,PW,RR,Subrata Roy Sahara Stadium,Pune,RR,bat,RR,PW,N,PW,7.0,No,AJ Finch
2013,2013-04-10,KXP,CSK,"Punjab Cricket Association Stadium, Mohali",Chandigarh,CSK,field,KXP,CSK,N,CSK,10.0,Yes,MEK Hussey
2013,2013-04-09,MI,DD,Wankhede Stadium,Mumbai,MI,bat,MI,DD,N,MI,44.0,Yes,KD Karthik
2013,2013-04-09,RCB,SH,M Chinnaswamy Stadium,Bangalore,SH,bat,SH,RCB,N,RCB,7.0,No,V Kohli
2013,2013-04-08,RR,KKR,Sawai Mansingh Stadium,Jaipur,KKR,field,RR,KKR,N,RR,19.0,No,SK Trivedi
2013,2013-04-07,SH,RCB,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,RCB,bat,RCB,SH,Y,SH,17.0,No,GH Vihari
2013,2013-04-07,PW,KXP,Subrata Roy Sahara Stadium,Pune,PW,bat,PW,KXP,N,KXP,8.0,No,M Vohra
2013,2013-04-06,CSK,MI,"MA Chidambaram Stadium, Chepauk",Chennai,MI,bat,MI,CSK,N,MI,9.0,Yes,KA Pollard
2013,2013-04-06,DD,RR,Feroz Shah Kotla,Delhi,RR,bat,RR,DD,N,RR,5.0,Yes,R Dravid
2013,2013-04-05,SH,PW,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,PW,field,SH,PW,N,SH,22.0,No,A Mishra
2013,2013-04-04,RCB,MI,M Chinnaswamy Stadium,Bangalore,MI,field,RCB,MI,N,RCB,2.0,No,CH Gayle
2013,2013-04-03,KKR,DD,Eden Gardens,Kolkata,KKR,field,DD,KKR,N,KKR,6.0,Yes,SP Narine
2012,2012-05-27,KKR,CSK,"MA Chidambaram Stadium, Chepauk",Chennai,CSK,bat,CSK,KKR,N,KKR,5.0,No,MS Bisla
2012,2012-05-25,DD,CSK,"MA Chidambaram Stadium, Chepauk",Chennai,DD,field,CSK,DD,N,CSK,86.0,No,M Vijay
2012,2012-05-23,CSK,MI,M Chinnaswamy Stadium,Bangalore,MI,field,CSK,MI,N,CSK,38.0,No,MS Dhoni
2012,2012-05-22,DD,KKR,Subrata Roy Sahara Stadium,Pune,KKR,bat,KKR,DD,N,KKR,18.0,Yes,YK Pathan
2012,2012-05-20,RR,MI,Sawai Mansingh Stadium,Jaipur,RR,bat,RR,MI,N,MI,10.0,No,DR Smith
2012,2012-05-20,DC,RCB,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,RCB,field,DC,RCB,N,DC,9.0,No,DW Steyn
2012,2012-05-19,PW,KKR,Subrata Roy Sahara Stadium,Pune,KKR,bat,KKR,PW,N,KKR,34.0,Yes,Shakib Al Hasan
2012,2012-05-19,KXP,DD,Himachal Pradesh Cricket Association Stadium,Dharamsala,DD,field,KXP,DD,N,DD,6.0,Yes,UT Yadav
2012,2012-05-18,DC,RR,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,RR,bat,RR,DC,N,DC,5.0,No,DW Steyn
2012,2012-05-17,KXP,CSK,Himachal Pradesh Cricket Association Stadium,Dharamsala,KXP,field,CSK,KXP,N,KXP,6.0,Yes,AC Gilchrist
2012,2012-05-17,DD,RCB,Feroz Shah Kotla,Delhi,DD,field,RCB,DD,N,RCB,21.0,No,CH Gayle
2012,2012-05-16,MI,KKR,Wankhede Stadium,Mumbai,MI,field,KKR,MI,N,KKR,32.0,No,SP Narine
2012,2012-05-15,DD,KXP,Feroz Shah Kotla,Delhi,KXP,bat,KXP,DD,N,DD,5.0,No,UT Yadav
2012,2012-05-14,KKR,CSK,Eden Gardens,Kolkata,CSK,field,KKR,CSK,N,CSK,5.0,Yes,MEK Hussey
2012,2012-05-14,RCB,MI,M Chinnaswamy Stadium,Bangalore,MI,field,RCB,MI,N,MI,5.0,Yes,AT Rayudu
2012,2012-05-13,KXP,DC,"Punjab Cricket Association Stadium, Mohali",Chandigarh,DC,bat,DC,KXP,N,KXP,4.0,No,DJ Hussey
2012,2012-05-13,RR,PW,Sawai Mansingh Stadium,Jaipur,RR,bat,RR,PW,N,RR,45.0,Yes,A Chandila
2012,2012-05-12,CSK,DD,"MA Chidambaram Stadium, Chepauk",Chennai,CSK,field,DD,CSK,N,CSK,9.0,Yes,BW Hilfenhaus
2012,2012-05-12,KKR,MI,Eden Gardens,Kolkata,MI,bat,MI,KKR,N,MI,27.0,Yes,RG Sharma
2012,2012-05-11,PW,RCB,Subrata Roy Sahara Stadium,Pune,PW,field,RCB,PW,N,RCB,35.0,No,CH Gayle
2012,2012-05-10,RR,CSK,Sawai Mansingh Stadium,Jaipur,CSK,field,RR,CSK,N,CSK,4.0,Yes,BW Hilfenhaus
2012,2012-05-10,DC,DD,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,DC,bat,DC,DD,N,DD,9.0,No,DA Warner
2012,2012-05-09,MI,RCB,Wankhede Stadium,Mumbai,RCB,field,MI,RCB,N,RCB,9.0,Yes,CH Gayle
2012,2012-05-08,DC,KXP,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,DC,field,KXP,DC,N,KXP,25.0,No,Mandeep Singh
2012,2012-05-08,PW,RR,Subrata Roy Sahara Stadium,Pune,PW,bat,PW,RR,N,RR,7.0,No,SR Watson
2012,2012-05-07,DD,KKR,Feroz Shah Kotla,Delhi,DD,bat,DD,KKR,N,KKR,6.0,No,JH Kallis
2012,2012-05-06,RCB,DC,M Chinnaswamy Stadium,Bangalore,RCB,field,DC,RCB,N,RCB,5.0,Yes,AB de Villiers
2012,2012-05-06,MI,CSK,Wankhede Stadium,Mumbai,MI,field,CSK,MI,N,MI,2.0,Yes,DR Smith
2012,2012-05-05,KXP,RR,"Punjab Cricket Association Stadium, Mohali",Chandigarh,RR,bat,RR,KXP,N,RR,43.0,Yes,SR Watson
2012,2012-05-05,KKR,PW,Eden Gardens,Kolkata,KKR,bat,KKR,PW,N,KKR,7.0,Yes,SP Narine
2012,2012-05-04,CSK,DC,"MA Chidambaram Stadium, Chepauk",Chennai,CSK,bat,CSK,DC,N,CSK,10.0,Yes,SK Raina
2012,2012-05-03,PW,MI,Subrata Roy Sahara Stadium,Pune,MI,bat,MI,PW,N,MI,1.0,Yes,SL Malinga
2012,2012-05-02,RCB,KXP,M Chinnaswamy Stadium,Bangalore,KXP,field,RCB,KXP,N,KXP,4.0,Yes,Azhar Mahmood
2012,2012-05-01,RR,DD,Sawai Mansingh Stadium,Jaipur,RR,bat,RR,DD,N,DD,6.0,No,P Negi
2012,2012-05-01,DC,PW,Barabati Stadium,Cuttack,DC,bat,DC,PW,N,DC,13.0,Yes,KC Sangakkara
2012,2012-04-30,CSK,KKR,"MA Chidambaram Stadium, Chepauk",Chennai,CSK,bat,CSK,KKR,N,KKR,5.0,No,G Gambhir
2012,2012-04-29,MI,DC,Wankhede Stadium,Mumbai,MI,field,DC,MI,N,MI,5.0,Yes,DW Steyn
2012,2012-04-29,DD,RR,Feroz Shah Kotla,Delhi,DD,bat,DD,RR,N,DD,1.0,Yes,V Sehwag
2012,2012-04-28,KKR,RCB,Eden Gardens,Kolkata,KKR,bat,KKR,RCB,N,KKR,47.0,Yes,G Gambhir
2012,2012-04-28,CSK,KXP,"MA Chidambaram Stadium, Chepauk",Chennai,KXP,bat,KXP,CSK,N,KXP,7.0,Yes,Mandeep Singh
2012,2012-04-27,DD,MI,Feroz Shah Kotla,Delhi,MI,field,DD,MI,N,DD,37.0,No,V Sehwag
2012,2012-04-26,PW,DC,Subrata Roy Sahara Stadium,Pune,DC,bat,DC,PW,N,DC,18.0,Yes,CL White
2012,2012-04-25,KXP,MI,"Punjab Cricket Association Stadium, Mohali",Chandigarh,KXP,bat,KXP,MI,N,MI,4.0,No,AT Rayudu
2012,2012-04-24,PW,DD,Subrata Roy Sahara Stadium,Pune,PW,bat,PW,DD,N,DD,8.0,No,V Sehwag
2012,2012-04-23,RR,RCB,Sawai Mansingh Stadium,Jaipur,RR,field,RCB,RR,N,RCB,46.0,No,AB de Villiers
2012,2012-04-22,DC,KKR,Barabati Stadium,Cuttack,KKR,field,DC,KKR,N,KKR,5.0,Yes,B Lee
2012,2012-04-22,MI,KXP,Wankhede Stadium,Mumbai,MI,bat,MI,KXP,N,KXP,6.0,No,SE Marsh
2012,2012-04-21,DD,PW,Feroz Shah Kotla,Delhi,DD,field,PW,DD,N,PW,20.0,No,SC Ganguly
2012,2012-04-21,CSK,RR,"MA Chidambaram Stadium, Chepauk",Chennai,RR,bat,RR,CSK,N,CSK,7.0,No,F du Plessis
2012,2012-04-20,KXP,RCB,"Punjab Cricket Association Stadium, Mohali",Chandigarh,RCB,field,KXP,RCB,N,RCB,5.0,Yes,CH Gayle
2012,2012-04-19,CSK,PW,"MA Chidambaram Stadium, Chepauk",Chennai,PW,field,CSK,PW,N,CSK,13.0,No,KMDN Kulasekara
2012,2012-04-19,DD,DC,Feroz Shah Kotla,Delhi,DC,bat,DC,DD,N,DD,5.0,No,KP Pietersen
2012,2012-04-18,KXP,KKR,"Punjab Cricket Association Stadium, Mohali",Chandigarh,KXP,bat,KXP,KKR,N,KKR,8.0,No,G Gambhir
2012,2012-04-17,RR,DC,Sawai Mansingh Stadium,Jaipur,DC,bat,DC,RR,N,RR,5.0,No,BJ Hodge
2012,2012-04-17,RCB,PW,M Chinnaswamy Stadium,Bangalore,PW,bat,PW,RCB,N,RCB,6.0,No,CH Gayle
2012,2012-04-16,MI,DD,Wankhede Stadium,Mumbai,DD,field,MI,DD,N,DD,7.0,Yes,S Nadeem
2012,2012-04-15,RCB,RR,M Chinnaswamy Stadium,Bangalore,RR,bat,RR,RCB,N,RR,59.0,Yes,AM Rahane
2012,2012-04-15,KKR,KXP,Eden Gardens,Kolkata,KKR,field,KXP,KKR,N,KXP,2.0,No,SP Narine
2012,2012-04-14,PW,CSK,Subrata Roy Sahara Stadium,Pune,CSK,bat,CSK,PW,N,PW,7.0,No,JD Ryder
2012,2012-04-13,KKR,RR,Eden Gardens,Kolkata,RR,bat,RR,KKR,N,KKR,5.0,No,Shakib Al Hasan
2012,2012-04-12,KXP,PW,"Punjab Cricket Association Stadium, Mohali",Chandigarh,KXP,field,PW,KXP,N,KXP,7.0,Yes,AD Mascarenhas
2012,2012-04-12,CSK,RCB,"MA Chidambaram Stadium, Chepauk",Chennai,RCB,bat,RCB,CSK,N,CSK,5.0,No,F du Plessis
2012,2012-04-11,MI,RR,Wankhede Stadium,Mumbai,RR,field,MI,RR,N,MI,27.0,No,KA Pollard
2012,2012-04-10,DD,CSK,Feroz Shah Kotla,Delhi,DD,field,CSK,DD,N,DD,8.0,Yes,M Morkel
2012,2012-04-10,RCB,KKR,M Chinnaswamy Stadium,Bangalore,RCB,field,KKR,RCB,N,KKR,42.0,No,L Balaji
2012,2012-04-09,DC,MI,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,DC,bat,DC,MI,N,MI,5.0,No,RG Sharma
2012,2012-04-08,PW,KXP,Subrata Roy Sahara Stadium,Pune,PW,bat,PW,KXP,N,PW,22.0,Yes,MN Samuels
2012,2012-04-08,RR,KKR,Sawai Mansingh Stadium,Jaipur,KKR,field,RR,KKR,N,RR,22.0,No,BJ Hodge
2012,2012-04-07,RCB,DD,M Chinnaswamy Stadium,Bangalore,DD,field,RCB,DD,N,RCB,20.0,No,AB de Villiers
2012,2012-04-07,DC,CSK,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,DC,field,CSK,DC,N,CSK,74.0,No,RA Jadeja
2012,2012-04-06,RR,KXP,Sawai Mansingh Stadium,Jaipur,KXP,field,RR,KXP,N,RR,31.0,No,AM Rahane
2012,2012-04-06,MI,PW,Wankhede Stadium,Mumbai,MI,field,PW,MI,N,PW,28.0,No,SPD Smith
2012,2012-04-05,KKR,DD,Eden Gardens,Kolkata,DD,field,KKR,DD,N,DD,8.0,Yes,IK Pathan
2012,2012-04-04,CSK,MI,"MA Chidambaram Stadium, Chepauk",Chennai,MI,field,CSK,MI,N,MI,8.0,Yes,RE Levi
2011,2011-05-28,CSK,RCB,"MA Chidambaram Stadium, Chepauk",Chennai,CSK,bat,CSK,RCB,N,CSK,58.0,Yes,M Vijay
2011,2011-05-27,RCB,MI,"MA Chidambaram Stadium, Chepauk",Chennai,MI,field,RCB,MI,N,RCB,43.0,No,CH Gayle
2011,2011-05-25,MI,KKR,Wankhede Stadium,Mumbai,MI,field,KKR,MI,N,MI,4.0,Yes,MM Patel
2011,2011-05-24,RCB,CSK,Wankhede Stadium,Mumbai,CSK,field,RCB,CSK,N,CSK,6.0,Yes,SK Raina
2011,2011-05-22,KKR,MI,Eden Gardens,Kolkata,MI,field,KKR,MI,N,MI,5.0,Yes,JEC Franklin
2011,2011-05-22,RCB,CSK,M Chinnaswamy Stadium,Bangalore,RCB,field,CSK,RCB,N,RCB,8.0,Yes,CH Gayle
2011,2011-05-21,DD,PW,Feroz Shah Kotla,Delhi,DD,bat,DD,PW,N,MI,17.0,No,AB de Villiers
2011,2011-05-21,KXP,DC,Himachal Pradesh Cricket Association Stadium,Dharamsala,KXP,field,DC,KXP,N,DC,82.0,No,S Dhawan
2011,2011-05-20,MI,RR,Wankhede Stadium,Mumbai,MI,bat,MI,RR,N,RR,10.0,No,SR Watson
2011,2011-05-19,PW,KKR,Dr DY Patil Sports Academy,Mumbai,KKR,field,PW,KKR,N,KKR,7.0,Yes,YK Pathan
2011,2011-05-18,CSK,KTK,"MA Chidambaram Stadium, Chepauk",Chennai,CSK,bat,CSK,KTK,N,CSK,11.0,Yes,WP Saha
2011,2011-05-17,KXP,RCB,Himachal Pradesh Cricket Association Stadium,Dharamsala,KXP,bat,KXP,RCB,N,KXP,111.0,Yes,AC Gilchrist
2011,2011-05-16,PW,DC,Dr DY Patil Sports Academy,Mumbai,DC,field,PW,DC,N,DC,6.0,Yes,A Mishra
2011,2011-05-15,KTK,RR,Holkar Cricket Stadium,Indore,KTK,field,RR,KTK,N,KTK,8.0,Yes,BJ Hodge
2011,2011-05-15,KXP,DD,Himachal Pradesh Cricket Association Stadium,Dharamsala,DD,field,KXP,DD,N,KXP,29.0,No,PP Chawla
2011,2011-05-14,MI,DC,Wankhede Stadium,Mumbai,DC,bat,DC,MI,N,DC,10.0,Yes,A Mishra
2011,2011-05-14,RCB,KKR,M Chinnaswamy Stadium,Bangalore,RCB,field,KKR,RCB,N,RCB,4.0,Yes,CH Gayle
2011,2011-05-13,KTK,KXP,Holkar Cricket Stadium,Indore,KXP,field,KTK,KXP,N,KXP,6.0,Yes,KD Karthik
2011,2011-05-12,CSK,DD,"MA Chidambaram Stadium, Chepauk",Chennai,CSK,bat,CSK,DD,N,CSK,18.0,Yes,MS Dhoni
2011,2011-05-11,RR,RCB,Sawai Mansingh Stadium,Jaipur,RCB,field,RR,RCB,N,RCB,9.0,Yes,S Aravind
2011,2011-05-10,KXP,MI,"Punjab Cricket Association Stadium, Mohali",Chandigarh,MI,field,KXP,MI,N,KXP,76.0,No,BA Bhatt
2011,2011-05-10,DC,PW,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,DC,bat,DC,PW,N,PW,6.0,No,MR Marsh
2011,2011-05-09,RR,CSK,Sawai Mansingh Stadium,Jaipur,RR,field,CSK,RR,N,CSK,63.0,No,M Vijay
2011,2011-05-08,KXP,PW,"Punjab Cricket Association Stadium, Mohali",Chandigarh,KXP,bat,KXP,PW,N,PW,5.0,No,R Sharma
2011,2011-05-08,RCB,KTK,M Chinnaswamy Stadium,Bangalore,KTK,bat,KTK,RCB,N,RCB,9.0,No,CH Gayle
2011,2011-05-07,MI,DD,Wankhede Stadium,Mumbai,DD,field,MI,DD,N,MI,32.0,No,AT Rayudu
2011,2011-05-07,KKR,CSK,Eden Gardens,Kolkata,CSK,bat,CSK,KKR,N,KKR,10.0,No,Iqbal Abdulla
2011,2011-05-06,RCB,KXP,M Chinnaswamy Stadium,Bangalore,KXP,field,RCB,KXP,N,RCB,85.0,No,CH Gayle
2011,2011-05-05,DC,DD,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,DD,field,DC,DD,N,DD,4.0,Yes,V Sehwag
2011,2011-05-05,KTK,KKR,Nehru Stadium,Kochi,KKR,field,KTK,KKR,N,KTK,17.0,No,BJ Hodge
2011,2011-05-04,PW,MI,Dr DY Patil Sports Academy,Mumbai,PW,field,MI,PW,N,MI,21.0,No,R Sharma
2011,2011-05-04,CSK,RR,"MA Chidambaram Stadium, Chepauk",Chennai,RR,bat,RR,CSK,N,CSK,8.0,No,MEK Hussey
2011,2011-05-03,DC,KKR,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,DC,field,KKR,DC,N,KKR,20.0,No,YK Pathan
2011,2011-05-02,DD,KTK,Feroz Shah Kotla,Delhi,KTK,field,DD,KTK,N,KTK,7.0,Yes,P Parameswaran
2011,2011-05-02,MI,KXP,Wankhede Stadium,Mumbai,KXP,field,MI,KXP,N,MI,23.0,No,KA Pollard
2011,2011-05-01,CSK,DC,"MA Chidambaram Stadium, Chepauk",Chennai,CSK,bat,CSK,DC,N,CSK,19.0,Yes,JA Morkel
2011,2011-05-01,RR,PW,Sawai Mansingh Stadium,Jaipur,RR,field,PW,RR,N,RR,6.0,Yes,LRPL Taylor
2011,2011-04-30,KKR,KXP,Eden Gardens,Kolkata,KKR,field,KXP,KKR,N,KKR,8.0,Yes,Iqbal Abdulla
2011,2011-04-30,KTK,DD,Nehru Stadium,Kochi,DD,bat,DD,KTK,N,DD,38.0,Yes,V Sehwag
2011,2011-04-29,RR,MI,Sawai Mansingh Stadium,Jaipur,RR,field,MI,RR,N,RR,7.0,Yes,J Botha
2011,2011-04-29,RCB,PW,M Chinnaswamy Stadium,Bangalore,PW,field,RCB,PW,N,RCB,26.0,No,V Kohli
2011,2011-04-28,DD,KKR,Feroz Shah Kotla,Delhi,DD,field,KKR,DD,N,KKR,17.0,No,MK Tiwary
2011,2011-04-27,KTK,DC,Nehru Stadium,Kochi,KTK,field,DC,KTK,N,DC,55.0,No,I Sharma
2011,2011-04-27,PW,CSK,Dr DY Patil Sports Academy,Mumbai,PW,bat,PW,CSK,N,CSK,8.0,No,DE Bollinger
2011,2011-04-26,DD,RCB,Feroz Shah Kotla,Delhi,RCB,field,DD,RCB,N,RCB,3.0,Yes,V Kohli
2011,2011-04-25,CSK,PW,"MA Chidambaram Stadium, Chepauk",Chennai,PW,field,CSK,PW,N,CSK,25.0,No,MEK Hussey
2011,2011-04-24,RR,KTK,Sawai Mansingh Stadium,Jaipur,RR,field,KTK,RR,N,RR,8.0,Yes,SK Warne
2011,2011-04-24,DC,MI,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,DC,field,MI,DC,N,MI,37.0,No,SL Malinga
2011,2011-04-23,DD,KXP,Feroz Shah Kotla,Delhi,KXP,field,DD,KXP,N,DD,29.0,No,DA Warner
2011,2011-04-22,KKR,RCB,Eden Gardens,Kolkata,RCB,field,KKR,RCB,N,RCB,9.0,Yes,CH Gayle
2011,2011-04-22,MI,CSK,Wankhede Stadium,Mumbai,CSK,field,MI,CSK,N,MI,8.0,No,Harbhajan Singh
2011,2011-04-21,KXP,RR,"Punjab Cricket Association Stadium, Mohali",Chandigarh,RR,field,KXP,RR,N,KXP,48.0,No,SE Marsh
2011,2011-04-20,MI,PW,Wankhede Stadium,Mumbai,PW,bat,PW,MI,N,MI,7.0,No,MM Patel
2011,2011-04-20,KKR,KTK,Eden Gardens,Kolkata,KKR,field,KTK,KKR,N,KTK,6.0,No,DPMD Jayawardene
2011,2011-04-19,DD,DC,Feroz Shah Kotla,Delhi,DC,bat,DC,DD,N,DC,16.0,Yes,S Sohal
2011,2011-04-18,KTK,CSK,Nehru Stadium,Kochi,KTK,field,CSK,KTK,N,KTK,7.0,Yes,BB McCullum
2011,2011-04-17,KKR,RR,Eden Gardens,Kolkata,KKR,field,RR,KKR,N,KKR,8.0,Yes,L Balaji
2011,2011-04-17,PW,DD,Dr DY Patil Sports Academy,Mumbai,DD,field,PW,DD,N,DD,3.0,Yes,Yuvraj Singh
2011,2011-04-16,DC,KXP,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,KXP,field,DC,KXP,N,KXP,8.0,Yes,PC Valthaty
2011,2011-04-16,CSK,RCB,"MA Chidambaram Stadium, Chepauk",Chennai,CSK,bat,CSK,RCB,N,CSK,21.0,Yes,MEK Hussey
2011,2011-04-15,MI,KTK,Wankhede Stadium,Mumbai,KTK,field,MI,KTK,N,KTK,8.0,Yes,BB McCullum
2011,2011-04-15,RR,KKR,Sawai Mansingh Stadium,Jaipur,KKR,field,RR,KKR,N,KKR,9.0,Yes,G Gambhir
2011,2011-04-14,DC,RCB,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,RCB,field,DC,RCB,N,DC,33.0,No,DW Steyn
2011,2011-04-13,PW,KTK,Dr DY Patil Sports Academy,Mumbai,KTK,bat,KTK,PW,N,PW,4.0,No,MD Mishra
2011,2011-04-13,KXP,CSK,"Punjab Cricket Association Stadium, Mohali",Chandigarh,KXP,field,CSK,KXP,N,KXP,6.0,Yes,PC Valthaty
2011,2011-04-12,RCB,MI,M Chinnaswamy Stadium,Bangalore,MI,field,RCB,MI,N,MI,9.0,Yes,SR Tendulkar
2011,2011-04-12,RR,DD,Sawai Mansingh Stadium,Jaipur,DD,bat,DD,RR,N,RR,6.0,No,SK Warne
2011,2011-04-11,KKR,DC,Eden Gardens,Kolkata,KKR,bat,KKR,DC,N,KKR,9.0,Yes,JH Kallis
2011,2011-04-10,DD,MI,Feroz Shah Kotla,Delhi,DD,bat,DD,MI,N,MI,8.0,No,SL Malinga
2011,2011-04-10,PW,KXP,Dr DY Patil Sports Academy,Mumbai,KXP,bat,KXP,PW,N,PW,7.0,No,SB Wagh
2011,2011-04-09,KTK,RCB,Nehru Stadium,Kochi,KTK,bat,KTK,RCB,N,RCB,6.0,No,AB de Villiers
2011,2011-04-09,DC,RR,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,RR,field,DC,RR,N,RR,8.0,Yes,SK Trivedi
2011,2011-04-08,CSK,KKR,"MA Chidambaram Stadium, Chepauk",Chennai,CSK,bat,CSK,KKR,N,CSK,2.0,Yes,S Anirudha
2009/10,2010-04-25,CSK,MI,Dr DY Patil Sports Academy,Mumbai,CSK,bat,CSK,MI,N,CSK,22.0,Yes,SK Raina
2009/10,2010-04-24,RCB,DC,Dr DY Patil Sports Academy,Mumbai,DC,bat,DC,RCB,N,RCB,9.0,No,A Kumble
2009/10,2010-04-22,CSK,DC,Dr DY Patil Sports Academy,Mumbai,CSK,bat,CSK,DC,N,CSK,38.0,Yes,DE Bollinger
2009/10,2010-04-21,RCB,MI,Dr DY Patil Sports Academy,Mumbai,MI,bat,MI,RCB,N,MI,35.0,Yes,KA Pollard
2009/10,2010-04-19,KKR,MI,Eden Gardens,Kolkata,MI,bat,MI,KKR,N,KKR,9.0,No,M Kartik
2009/10,2010-04-18,DD,DC,Feroz Shah Kotla,Delhi,DC,bat,DC,DD,N,DC,11.0,Yes,A Symonds
2009/10,2010-04-18,KXP,CSK,Himachal Pradesh Cricket Association Stadium,Dharamsala,CSK,field,KXP,CSK,N,CSK,6.0,Yes,MS Dhoni
2009/10,2010-04-17,KKR,RR,Eden Gardens,Kolkata,RR,bat,RR,KKR,N,KKR,8.0,No,JD Unadkat
2009/10,2010-04-17,RCB,MI,M Chinnaswamy Stadium,Bangalore,RCB,field,MI,RCB,N,MI,57.0,No,R McLaren
2009/10,2010-04-16,KXP,DC,Himachal Pradesh Cricket Association Stadium,Dharamsala,DC,field,KXP,DC,N,DC,5.0,Yes,RG Sharma
2009/10,2010-04-15,CSK,DD,"MA Chidambaram Stadium, Chepauk",Chennai,CSK,bat,CSK,DD,N,DD,6.0,No,G Gambhir
2009/10,2010-04-14,RR,RCB,Sawai Mansingh Stadium,Jaipur,RR,bat,RR,RCB,N,RCB,5.0,No,KP Pietersen
2009/10,2010-04-13,CSK,KKR,"MA Chidambaram Stadium, Chepauk",Chennai,KKR,bat,KKR,CSK,N,CSK,9.0,No,R Ashwin
2009/10,2010-04-13,MI,DD,Brabourne Stadium,Mumbai,MI,bat,MI,DD,N,MI,39.0,Yes,KA Pollard
2009/10,2010-04-12,DC,RCB,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,RCB,field,DC,RCB,N,DC,13.0,No,Harmeet Singh
2009/10,2010-04-11,DD,KXP,Feroz Shah Kotla,Delhi,DD,bat,DD,KXP,N,KXP,7.0,No,PP Chawla
2009/10,2010-04-11,RR,MI,Sawai Mansingh Stadium,Jaipur,RR,field,MI,RR,N,MI,37.0,No,SR Tendulkar
2009/10,2010-04-10,RCB,KKR,M Chinnaswamy Stadium,Bangalore,RCB,field,KKR,RCB,N,RCB,7.0,Yes,R Vinay Kumar
2009/10,2010-04-10,DC,CSK,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,CSK,bat,CSK,DC,N,DC,6.0,No,RJ Harris
2009/10,2010-04-09,KXP,MI,"Punjab Cricket Association Stadium, Mohali",Chandigarh,MI,bat,MI,KXP,N,KXP,6.0,No,KC Sangakkara
2009/10,2010-04-08,RCB,DC,M Chinnaswamy Stadium,Bangalore,DC,field,RCB,DC,N,DC,7.0,Yes,TL Suman
2009/10,2010-04-07,KKR,DD,Eden Gardens,Kolkata,KKR,bat,KKR,DD,N,KKR,14.0,Yes,SC Ganguly
2009/10,2010-04-07,RR,KXP,Sawai Mansingh Stadium,Jaipur,KXP,bat,KXP,RR,N,RR,9.0,No,MJ Lumb
2009/10,2010-04-06,CSK,MI,"MA Chidambaram Stadium, Chepauk",Chennai,CSK,bat,CSK,MI,N,CSK,24.0,Yes,SK Raina
2009/10,2010-04-05,DC,RR,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,RR,bat,RR,DC,N,RR,2.0,Yes,SK Warne
2009/10,2010-04-04,DD,RCB,Feroz Shah Kotla,Delhi,DD,bat,DD,RCB,N,DD,37.0,Yes,PD Collingwood
