Season,Date,Team1,Team2,Venue,City,Toss(Won),Toss(Decision),BatFirst,BowlFirst,SuperOver,Winner,"WonBy(Runs,Wickets)","Won(Toss,Match)",POM
2021,2021-05-01,CSK,MI,"Arun Jaitley Stadium, Delhi",Delhi,MI,field,CSK,MI,N,MI,4.0,Yes,KA Pollard
2021,2021-04-30,PK,RCB,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,RCB,field,PK,RCB,N,PK,34.0,No,Harpreet Brar
2021,2021-04-29,RR,MI,"Arun Jaitley Stadium, Delhi",Delhi,MI,field,RR,MI,N,MI,7.0,Yes,Q de Kock
2021,2021-04-29,KKR,DC,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,DC,field,KKR,DC,N,DC,7.0,Yes,PP Shaw
2021,2021-04-28,SH,CSK,"Arun Jaitley Stadium, Delhi",Delhi,SH,bat,SH,CSK,N,CSK,7.0,No,RD Gaikwad
2021,2021-04-27,RCB,DC,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,DC,field,RCB,DC,N,RCB,1.0,No,AB de Villiers
2021,2021-04-26,PK,KKR,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,KKR,field,PK,KKR,N,KKR,5.0,Yes,EJG Morgan
2021,2021-04-25,DC,SH,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,DC,bat,DC,SH,Y,DC,17.0,Yes,PP Shaw
2021,2021-04-25,CSK,RCB,"Wankhede Stadium, Mumbai",Mumbai,CSK,bat,CSK,RCB,N,CSK,69.0,Yes,RA Jadeja
2021,2021-04-24,KKR,RR,"Wankhede Stadium, Mumbai",Mumbai,RR,field,KKR,RR,N,RR,6.0,Yes,CH Morris
2021,2021-04-23,MI,PK,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,PK,field,MI,PK,N,PK,9.0,Yes,KL Rahul
2021,2021-04-22,RR,RCB,"Wankhede Stadium, Mumbai",Mumbai,RCB,field,RR,RCB,N,RCB,10.0,Yes,D Padikkal
2021,2021-04-21,CSK,KKR,"Wankhede Stadium, Mumbai",Mumbai,KKR,field,CSK,KKR,N,CSK,18.0,No,F du Plessis
2021,2021-04-21,PK,SH,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,PK,bat,PK,SH,N,SH,9.0,No,JM Bairstow
2021,2021-04-20,MI,DC,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,MI,bat,MI,DC,N,DC,6.0,No,A Mishra
2021,2021-04-19,CSK,RR,"Wankhede Stadium, Mumbai",Mumbai,RR,field,CSK,RR,N,CSK,45.0,No,MM Ali
2021,2021-04-18,PK,DC,"Wankhede Stadium, Mumbai",Mumbai,DC,field,PK,DC,N,DC,6.0,Yes,S Dhawan
2021,2021-04-18,RCB,KKR,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,RCB,bat,RCB,KKR,N,RCB,38.0,Yes,AB de Villiers
2021,2021-04-17,MI,SH,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,MI,bat,MI,SH,N,MI,13.0,Yes,KA Pollard
2021,2021-04-16,PK,CSK,"Wankhede Stadium, Mumbai",Mumbai,CSK,field,PK,CSK,N,CSK,6.0,Yes,DL Chahar
2021,2021-04-15,DC,RR,"Wankhede Stadium, Mumbai",Mumbai,RR,field,DC,RR,N,RR,3.0,Yes,JD Unadkat
2021,2021-04-14,RCB,SH,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,SH,field,RCB,SH,N,RCB,6.0,No,GJ Maxwell
2021,2021-04-13,MI,KKR,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,KKR,field,MI,KKR,N,MI,10.0,No,RD Chahar
2021,2021-04-12,PK,RR,"Wankhede Stadium, Mumbai",Mumbai,RR,field,PK,RR,N,PK,4.0,No,SV Samson
